Part,Value,Device,Package,Description,,
C1,100nf,CERAMIC-100NF-50V-10%-X7R(0603),C0603,302010138,,
C2,100nf,CERAMIC-100NF-50V-10%-X7R(0603),C0603,302010138,,
C3,100nf,CERAMIC-100NF-50V-10%-X7R(0603),C0603,302010138,,
C4,1uf,CERAMIC-1UF-25V-10%-X7R(0603),C0603,302010139,,
C5,1uf,CERAMIC-1UF-25V-10%-X7R(0603),C0603,302010139,,
C6,1uf,CERAMIC-1UF-25V-10%-X7R(0603),C0603,302010139,,
C7,200nF,CERAMIC-220NF-25V-10%-X7R(0603),C0603,302010073,,
C8,100nf,CERAMIC-100NF-50V-10%-X7R(0603),C0603,302010138,,
C9,100nf,CERAMIC-100NF-50V-10%-X7R(0603),C0603,302010138,,
C10,100nf,CERAMIC-100NF-50V-10%-X7R(0603),C0603,302010138,,
D1,BLUE-0603,SMD-LED-CLEAR-BLUE(0603),LED-0603,304090045,,
J1,FTSH-107-XX-XXX-D,FTSH-107-XX-XXX-D,FTSH-107-XX-XXX-D,"0.050X0.050"" CL THROUGH HOLE TERMINAL STRIP ASSEMBLY,14PINS.""",,
J2,FTSH-107-XX-XXX-D,FTSH-107-XX-XXX-D,FTSH-107-XX-XXX-D,"0.050X0.050"" CL THROUGH HOLE TERMINAL STRIP ASSEMBLY,14PINS.""",,
J3,QSH-030-01-X-D-A,QSH-030-01-X-D-A,QSH-030-01-X-D-A,"HIGH SPEED SOCKET STRIP, .5mm PITCH, 60 PINS.",,
J4,,PINHD-2X3/90,2X03/90,PIN HEADER,,
L1,2500R-50MA,SMD-FERRITE-BEAD-2500R-50MA(0603),L0603,303030020,,
R1,2K,SMD-RES-2K-5%-1/10W(0603),R0603,301010298,,
R2,2K,SMD-RES-2K-5%-1/10W(0603),R0603,301010113,,
R3,2K,SMD-RES-2K-5%-1/10W(0603),R0603,301010113,,
R4,200K,SMD-RES-200K-5%-1/10W(0603),R0603,301010212,,
R5,2K,SMD-RES-2K-5%-1/10W(0603),R0603,301010113,,
R6,2K,SMD-RES-2K-5%-1/10W(0603),R0603,301010113,,
U1,AP7312-1833W6-7,AP7312,SOT95P280X145-6N,,,
U2,SN75DPHY440SS,SN75DPHY440SS,RHR0028A_NV,,,
U3,ATTINY24A-SSU,ATTINY24A-SSU,SOIC127P600X175-14N,8-bit Microcontroller with In-System Programmable Flash,,
U4,PCA9306_DCT_8,PCA9306_DCT_8,DCT8,,,
X1,ZX62D-B-5PA8,ZX62D-B-5PA8,ZX62D-B-5PA8,"Micro USB Type B Connector - Standard, Shell Through Hole",,
